ds,y
2025-01-18,-0.0012150126524658805
2025-01-19,-0.002731667256205077
2025-01-20,-0.003984583402844142
2025-01-21,-0.004268105500316037
2025-01-22,-0.0037682397851765415
2025-01-23,-0.0031935217194015353
2025-01-24,-0.0035892235327886664
2025-01-25,-0.0037607347881053847
2025-01-26,-0.003715965065157633
2025-01-27,-0.0036055369781259525
2025-01-28,-0.0035729964167158347
2025-01-29,-0.003648891356178694
2025-01-30,-0.0036608249208567
2025-01-31,-0.0036408429474069624
2025-02-01,-0.003625818523856829
2025-02-02,-0.0036298748330030038
2025-02-03,-0.003641250516260438
2025-02-04,-0.0036397223482767865
2025-02-05,-0.0036355018337608036
2025-02-06,-0.003634433611031572
2025-02-07,-0.0036361566284665208
2025-02-08,-0.003637412987559224
2025-02-09,-0.0036366454818189814
2025-02-10,-0.0036360301085274203
2025-02-11,-0.003636135763480744
2025-02-12,-0.003636476193970578
2025-02-13,-0.0036365401070713897
2025-02-14,-0.003636365530973823
2025-02-15,-0.0036363095408047915
2025-02-16,-0.0036363654272602653
